date,route_color,route_grade,rating,style,wall,offset,comment,route_id
2020-03-15,White,5.11c,4,Onsight,wall-island,91.7,,c12f368767a4776a8392665f0e660892
2020-03-15,White,5.10d,,Onsight,wall-island,126.0,,c3427850c4f142dfbe48314fc995e4ed
2020-03-12,White,5.12b,5,Red Point,wall-island,528.5,Great climb,ec1d0e0c781b27ca0e2a06a3d8fa9175
2020-03-12,Blue,5.10c,,Onsight,wall-back-wall,588.1,,1f28af14dc81f93083720236797340dd
2020-03-09,Black,V0,,Flash,wall-mezzanine,114.6,,c85781eb73441c6cd13934d952fc25c3
2020-03-09,Blue,V2,,Flash,wall-mezzanine,114.6,,b2e0d38a015ec08fadf68b3d3b3faf2f
2020-03-09,White,V6,1,Flash,wall-mezzanine,114.6,Flashed with left hand on bottom corner of volume (below only labeled start). Another climber let me know during the comp both hands were labeled. Apparently I can't start it with the comp start hand. Makes sense since it felt soft with the volume start. I either flashed or can't start﹐ Oh well. #bringtwostarthandsback,06320599618fc2aef903380548f68e02
2020-03-09,Pink,V4,,Flash,wall-mezzanine,39.7,,f39d32e2c3a5125c7916dbe6c85af49a
2020-03-09,Pink,V4,,Red Point,wall-slab,48.7,,018e24449d90d45363a0f5c0c10d952c
2020-03-09,White,V5,4,Flash,wall-slab,118.8,,f15391f8b743ac0537cf725c4b096d57
2020-03-09,Lime Green,V6,3,Flash,wall-slab,192.9,,100ef8e8d40ca3716dcc58d7fa30c734
2020-03-09,Pink,V3,,Flash,wall-boulders,87.1,,5c96390726dd7695c4257bd16f184591
2020-03-09,Yellow,V4,,Flash,wall-boulders,161.2,,412ff5f448845b972d2007f10367c3f8
2020-03-09,White,V6,3,Red Point,wall-boulders,161.2,,6763501c5a8d0940d0b09ae1c76d6ad8
2020-03-09,Blue,V2,,Flash,wall-boulders,161.2,,926f37127d4b3cde2ec765052f6e60d9
2020-03-09,Lime Green,V1,,Flash,wall-boulders,288.8,,cc169b12d0a723910aa3f8bf678abe42
2020-03-09,Black,V2,,Flash,wall-boulders,288.8,,56a5cd7a8a5217bf028f720dd9e78c99
2020-03-09,Black,V0,,Flash,wall-boulders,359.0,,62fc0c73c64e405b472b499578205cb0
2020-03-09,Tan,V4,,Flash,wall-boulders,359.0,,2bd8718c3164456377f903aabef45f11
2020-03-09,White,V2,,Flash,wall-boulders,581.0,,ba60033c32d66c09445a41f3da726385
2020-03-09,Pink,V3,3,Flash,wall-boulders,667.3,,80cddf93f90cd364c057590dd7fb7ea4
2020-03-07,White,5.10b,,Onsight,wall-back-wall,222.7,,4219eddf4be44b4812986a9ab710b8ec
2020-03-07,Red,5.11b,5,Red Point,wall-island,444.9,,257fb4905bb6513986df16888c6dc9c7
2020-03-05,Yellow,5.9,,Onsight,wall-island,446.7,,9d0a42d3f2db539bdde369755f91af98
2020-03-05,Red,5.11a,,Red Point,wall-back-wall,1292.9,,3e4a5964bf8701e189e2ed365b5943f7
2020-03-05,Pink,5.11a,,Onsight,wall-back-wall,1250.3,,b324838987e8507a768efb25d71afc4e
2020-03-05,Yellow,5.11b,,Onsight,wall-back-wall,1229.4,,86e30b5aef1bf19b3b567b5f9896051f
2020-03-05,Purple,5.10d,,Onsight,wall-back-wall,16.3,,a86d6009df77337407ddf7882d929ecf
2020-02-26,Lime Green,5.10c,,Onsight,wall-back-wall,251.9,,c2fc94c23a9147ee5d4a7602a4fb6851
2020-02-26,Lime Green,5.10c,,Onsight,wall-island,530.3,,e323ab45980d52796b22e7c77595ec4b
2020-02-26,Tan,5.10c,,Onsight,wall-island,591.4,,911a3fab504895d45dcd360d5cf3574c
2020-02-26,Black,5.11a,,Onsight,wall-island,589.6,,fd68540836dfc0b3a86fc2ddad40f2aa
2020-02-26,Red,5.9,,Onsight,wall-island,560.7,,3e82b7522aac6f4dccc16b13a5396186
2020-02-26,Pink,5.9,,Onsight,wall-island,394.7,,9e4b0924a7d7ea5538be15d949d7140d
2020-02-17,Green,5.10c,,Onsight,wall-island,420.7,,2e45334406444552d928cc7eeb7fb6b4
2020-02-17,Purple,5.10a,,Onsight,wall-island,445.8,,3367c4d06c93f4c7198f49fbc31c31ad
2020-02-17,Tan,5.11b,,Red Point,wall-island,366.1,,dc54f4a2691a06ae3af30fc140838ed8
2020-02-17,Black,5.11a,,Onsight,wall-back-wall,1293.7,,e2a55583d7241135bb408e1212980fe0
2020-02-17,Tan,5.9,,Onsight,wall-back-wall,190.5,,b9cb1cf9ec9f75709e1890d93aafbd6b
2020-02-17,Yellow,5.10c,,Onsight,wall-back-wall,164.5,,3b0758532fe34ede5936bbb6c0c20963
2020-02-02,Tan,5.8,,Onsight,wall-island,421.6,,c0d8af33c9070f010f4970354c4319ca
2020-02-02,Tan,5.10a,,Onsight,wall-island,561.5,,d4bbbe4dd8644ecad075bbbc13256f34
2020-02-02,Blue,5.10d,,Onsight,wall-back-wall,142.5,,dc93142e641598dadef6a08d5051bd04
2020-02-02,Purple,5.11b,,Onsight,wall-back-wall,243.9,,ef0b5a4d4eec5c16a3310046d8708ea4
2020-02-02,Tan,5.11b,,Onsight,wall-island,328.0,,7b1c4a998a3596c3a26cf310aab12a12
2020-02-02,Yellow,5.11c,,Onsight,wall-island,141.6,,59466be082ad99a42c74aa18caf31771
2020-01-31,White,5.10b,,Onsight,wall-island,590.5,,f381f8b579a5d66a67e333eed2c61a48
2020-01-31,Red,5.11a,1,Onsight,wall-island,560.7,Wow that was awkward,11165d2de5cf6d3716df16d9755b2521
2020-01-31,Blue,5.12a,,Onsight,wall-island,43.2,,662964a74003607f9c81c8d0930df6e5
2020-01-31,Purple,V6,5,Red Point,wall-mezzanine,39.7,Finally was able to finish this thanks to Boris A's beta. I'm surprised by how hard the finishing beta is to figure out. This took me the longest on the set to finish. It's not physically harder than the rest﹐ but much more challenging to unlock. Frustratingly well set. ,68633f2098e41c7649ef90e4138b2115
2020-01-29,Pink,5.9,,Onsight,wall-back-wall,70.9,,17a1e26ab29b0bdd0bdac8b3ad7e4564
2020-01-29,Blue,5.10b,,Onsight,wall-island,395.6,,d1844ed942e833379c235383892197b7
2020-01-29,Purple,5.10d,,Onsight,wall-back-wall,124.1,,8f4283e1e07bd9e600998014212bf639
2020-01-29,Pink,5.11a,,Onsight,wall-back-wall,628.3,,dbae47dc44da90e1389276778d9cdc89
2020-01-29,Yellow,5.11d,4,Red Point,wall-red,261.8,,ccda101f3b8737bb08bc47dd8b33b46d
2020-01-29,Black,V0,,Flash,wall-mezzanine,39.7,,289f13c1fad993636aa750a046134026
2020-01-29,Lime Green,V1,,Flash,wall-mezzanine,39.7,,a488a6fe1a733e451898ad335d13d216
2020-01-29,Yellow,V3,,Flash,wall-mezzanine,39.7,,6ab38b6e926c4f6a05c634847a3d59f2
2020-01-29,Blue,V8,4,Red Point,wall-mezzanine,39.7,,7bffa224073ea51037de9081e60a58f7
2020-01-29,Tan,V4,,Flash,wall-mezzanine,39.7,,869bc5cb7790360cfc736284f7cd7f6b
2020-01-29,White,V2,,Flash,wall-mezzanine,39.7,,a6832f00cfee2016daa46b26ce7e0b1a
2020-01-29,Red,V2,,Flash,wall-mezzanine,39.7,,e6b2f56a916388b74d02e04908a162fc
2020-01-29,Yellow,V3,,Flash,wall-mezzanine,39.7,,e7baec3392ef529bbc5a4a8edadac691
2020-01-29,Black,V7,5,Flash,wall-mezzanine,114.6,Fingery but solid,5fdfc37c4b802f5f059abd9a5aa2b1d7
2020-01-29,Pink,V0,,Flash,wall-mezzanine,114.6,,978a660473cb36223b2453d1800623cd
2020-01-29,Pink,V5,5,Flash,wall-mezzanine,39.7,,5ebcde2841ed40034ec0bdfe0f96a9f5
2020-01-29,Lime Green,V5,4,Red Point,wall-mezzanine,114.6,,e3bb1eb98f763513295475559cf650f7
2020-01-29,White,V6,3,Flash,wall-mezzanine,114.6,,b6091f0aef659cc1b9562c4ff66f419c
2020-01-29,Blue,V5,,Flash,wall-mezzanine,114.6,,a44ebf7fa6aa83d3202004edab015e6c
2020-01-29,Yellow,V4,,Flash,wall-mezzanine,114.6,,5d5f489e5bddf879d4632c3ce5d1e9f1
2020-01-29,Tan,V5,,Flash,wall-mezzanine,114.6,,71cc15c2a9a348ea7a4ac124e49decfd
2020-01-29,Red,V4,,Flash,wall-mezzanine,114.6,,e10a3455eebf7da9260427d3c6bfb2ff
2020-01-29,Black,V1,,Flash,wall-mezzanine,114.6,,00d5a16a93a1d4a569dc49cb4ac53816
2020-01-29,White,V3,,Flash,wall-mezzanine,114.6,,26f5811ddc1c846ae070f27b16433dba
2020-01-26,Tan,5.8,,Onsight,wall-red,175.1,,a97bac0b9da6811daf7502198eca5b97
2020-01-26,Red,5.10a,,Onsight,wall-red,199.0,,78d421ed24e7aab1bd59d46244854a3a
2020-01-26,Pink,5.11a,,Onsight,wall-red,51.5,,9b9358492e49263ece80d3fe2e6cba56
2020-01-26,White,5.11b,,Onsight,wall-red,231.5,,228a0528463b222928086df0879bb63e
2020-01-26,Red,5.12a,,Red Point,wall-red,110.4,,33b193e9d3513c70bf9d68418fe5edd6
2020-01-26,Black,5.11c,4,Onsight,wall-back-wall,335.5,,047cf53843390ae50c5b711161ccb1ad
2020-01-24,Blue,V3,,Flash,wall-boulders,222.0,,bfdda60d27aaa46264550cb3d337fbce
2020-01-24,Black,V4,,Flash,wall-boulders,222.0,,00cddf1ae13637beb94e08b2db4cdd9d
2020-01-24,Pink,V6,,Flash,wall-boulders,222.0,,36cb7bc4e3d3a278eff29781927243fc
2020-01-24,Blue Left,V1,,Flash,wall-boulders,161.2,,c68bb581c1344dd43dfeb8a45514eacf
